class;1_1_2_2;1_1_3_2;1_1_5_0;1_1_5_2;2_1_2_0;2_1_3_2;2_1_5_2
0;3278;3212;2022;3243;2395;3426;3456
0;3278;3226;2031;3252;2323;3428;3454
0;3269;3226;2032;3254;2316;3438;3458
0;3274;3237;2034;3254;2312;3438;3459
0;3276;3236;2037;3255;2311;3435;3453
0;3276;3234;2035;3253;2306;3435;3451
0;3288;3222;2036;3254;2306;3432;3452
0;3288;3222;2047;3259;2311;3432;3454
0;3284;3242;2049;3261;2335;3416;3452
0;3284;3242;2049;3262;2335;3416;3458
0;3283;3246;2050;3262;2312;3430;3460
0;3276;3240;2045;3260;2317;3430;3455
0;3283;3240;2044;3261;2317;3440;3457
0;3283;3224;2042;3258;2310;3441;3459
0;3272;3224;2035;3255;2311;3439;3458
0;3282;3234;2035;3256;2317;3429;3456
0;3282;3237;2040;3254;2317;3429;3455
0;3274;3237;2038;3254;2309;3437;3456
0;3274;3237;2035;3254;2315;3438;3456
0;3266;3237;2031;3251;2315;3431;3455
0;3272;3236;2030;3251;2314;3426;3452
0;3278;3235;2029;3252;2312;3426;3457
0;3284;3235;2036;3260;2318;3430;3461
0;3290;3244;2056;3269;2320;3436;3459
0;3293;3244;2062;3269;2320;3434;3460
0;3293;3244;2061;3266;2335;3434;3462
0;3288;3246;2062;3267;2335;3440;3465
0;3288;3255;2062;3268;2331;3442;3465
0;3284;3252;2062;3268;2323;3446;3464
0;3302;3239;2059;3266;2323;3446;3464
0;3302;3239;2050;3264;2323;3444;3463
0;3286;3244;2048;3264;2327;3436;3462
0;3302;3245;2056;3266;2348;3436;3464
0;3302;3241;2061;3266;2348;3439;3463
0;3290;3241;2055;3265;2336;3438;3461
0;3286;3244;2051;3264;2330;3438;3463
0;3295;3244;2051;3263;2325;3438;3465
0;3295;3246;2052;3265;2325;3434;3463
0;3292;3240;2056;3266;2323;3434;3462
0;3286;3240;2055;3267;2323;3436;3459
0;3286;3247;2056;3267;2331;3436;3459
0;3282;3253;2060;3266;2331;3448;3464
0;3285;3246;2059;3265;2326;3444;3465
0;3285;3246;2058;3266;2327;3444;3462
0;3288;3242;2061;3268;2333;3444;3462
0;3290;3242;2062;3267;2334;3444;3464
0;3290;3254;2058;3267;2339;3447;3465
0;3287;3236;2058;3268;2339;3447;3467
0;3288;3236;2058;3268;2322;3446;3466
0;3288;3243;2049;3265;2321;3437;3461
0;3277;3247;2047;3262;2321;3437;3462
0;3280;3247;2054;3264;2328;3448;3464
0;3280;3235;2054;3265;2328;3447;3463
0;3280;3235;2050;3263;2320;3430;3462
0;3278;3245;2050;3263;2329;3430;3463
0;3280;3242;2051;3264;2330;3436;3462
0;3286;3242;2050;3264;2330;3436;3464
0;3287;3248;2049;3265;2332;3444;3467
0;3287;3239;2047;3263;2332;3444;3467
0;3602;2870;2022;3239;2576;3288;3468
3;3602;2870;1920;3190;4095;2887;3492
3;3670;2800;1853;3168;4095;2887;3487
3;3670;2800;1882;3141;4095;2740;3479
3;3615;2816;1868;3133;4095;2740;3508
3;3642;2776;1837;3168;4095;2752;3519
3;3680;2776;1864;3148;4095;2752;3433
3;3680;2756;1843;3128;4095;2615;3409
3;3648;2756;1826;3147;4095;2615;3502
3;3586;2799;1842;3119;4016;2907;3495
3;3628;2799;1829;3135;4095;2907;3524
3;3674;2824;1864;3163;4095;2855;3501
3;3774;2623;1862;3117;4095;2779;3447
3;3774;2623;1831;3131;4095;2769;3478
3;3758;2826;1845;3144;4095;2743;3471
3;3564;2739;1832;3133;4095;2743;3486
3;3564;2739;1834;3149;4066;2860;3467
3;3575;2824;1852;3127;4095;2824;3431
3;3726;2756;1830;3136;4095;2699;3454
3;3726;2756;1845;3155;4095;2602;3475
3;3628;2735;1863;3120;4095;2508;3458
3;3626;2735;1838;3139;4095;2508;3529
3;3626;2806;1864;3166;4095;2884;3516
3;3574;2760;1861;3128;4095;2806;3445
3;3572;2712;1811;3120;4095;2623;3458
3;3536;2712;1839;3126;4095;2623;3484
3;3614;2752;1837;3111;4077;2675;3508
3;3647;2752;1793;3127;4095;2675;3555
3;3647;2626;1817;3115;4095;2530;3494
3;3590;2626;1815;3091;4095;2530;3469
3;3580;2690;1781;3114;4095;2762;3511
3;3535;2740;1781;3093;4095;2832;3464
3;3535;2740;1773;3084;4095;2832;3541
3;3600;2826;1807;3115;4095;2928;3516
3;3600;2674;1816;3095;4095;2628;3467
3;3592;2674;1788;3103;4095;2628;3512
3;3690;2749;1825;3121;4095;2758;3494
3;3690;2735;1812;3108;3980;2758;3515
3;3659;2735;1796;3133;4095;2381;3489
3;3608;2794;1819;3107;4095;2381;3454
3;3608;2700;1791;3091;4095;2832;3493
3;3572;2700;1817;3110;4095;2830;3518
3;3568;2691;1823;3108;4095;2822;3525
3;3608;2691;1801;3128;4095;2692;3543
3;3657;2683;1830;3103;4095;2692;3480
3;3657;2683;1788;3085;4095;2766;3467
3;3596;2689;1755;3075;3998;2779;3539
3;3450;2681;1738;3031;3964;2779;3540
3;3510;2622;1724;3059;4095;2850;3578
3;3522;2622;1794;3096;4095;2880;3505
3;3535;2796;1805;3082;4095;2729;3461
3;3564;2798;1777;3101;4095;2678;3530
3;3564;2742;1797;3084;4095;2678;3501
3;3449;2739;1763;3066;4095;2721;3507
3;3449;2695;1742;3083;4095;2800;3528
3;3438;2695;1747;3032;4095;2836;3489
3;3470;2734;1731;3038;4095;2788;3491
3;3470;2792;1775;3070;4095;2788;3491
3;3482;2678;1777;3066;4095;2795;3496
3;3577;2678;1763;3092;4095;2770;3517
3;3577;2667;1805;3085;4095;2754;3455
3;3530;2667;2410;3173;4095;2574;3000
10;3303;3259;2990;3282;3761;2572;2592
10;3303;3259;2989;3285;3750;2551;2588
10;3314;3268;2987;3287;3750;2551;2586
10;3315;3265;2983;3288;3750;2566;2585
10;3315;3265;2979;3288;3748;2562;2584
10;3310;3272;2980;3290;3748;2558;2583
10;3310;3260;2984;3290;3746;2556;2583
10;3308;3260;2984;3292;3753;2555;2584
10;3309;3266;2984;3292;3753;2555;2583
10;3312;3266;2981;3291;3753;2560;2583
